Year,Farmer_Income,Fisher_Income,Income_Difference,Fisher_to_Farmer_Ratio,Farmer_Change_from_Previous,Fisher_Change_from_Previous
0,2182.726575342466,2232.419245283019,49.69266994055306,1.0227663283628443,0.0,0.0
1,2212.9628,2218.9664000000002,6.003600000000461,1.0027129240491528,30.236224657533967,-13.452845283018632
2,2243.4932,2227.71375,-15.779449999999997,0.9929665710598098,30.5304000000001,8.747349999999642
3,637.7409090909091,2184.146170212766,1546.4052611218567,3.4248174126484,-1605.7522909090908,-43.56757978723408
4,1987.3530666666668,3760.2357777777775,1772.8827111111107,1.8920824089323587,1349.6121575757577,1576.0896075650116
5,2038.6053333333332,2026.518913043478,-12.086420289855141,0.9940712309085876,51.2522666666664,-1733.7168647342994
6,1862.8319999999999,2142.360888888889,279.528888888889,1.150055876691451,-175.7733333333333,115.84197584541084
7,872.6085333333333,3760.8059999999996,2888.1974666666665,4.30984325311816,-990.2234666666666,1618.4451111111107
8,874.1313157894737,2059.1717391304346,1185.0404233409608,2.355677804850967,1.5227824561403622,-1701.634260869565
9,1979.7868,2290.0197872340423,310.2329872340422,1.1567001998568949,1105.6554842105265,230.84804810360765
10,686.14,4284.785416666667,3598.6454166666667,6.244768438899738,-1293.6468,1994.7656294326243
11,2207.9732894736844,2346.8175,138.8442105263157,1.062883102430742,1521.8332894736845,-1937.9679166666665
12,2067.5808,2321.0932653061227,253.51246530612252,1.1226130873850844,-140.39248947368424,-25.724234693877406
13,2146.6648684210527,4259.898039215686,2113.2331707946337,1.9844262147677438,79.0840684210525,1938.8047739095637
14,2250.0493421052633,2407.156603773585,157.10726166832183,1.0698239184040845,103.38447368421066,-1852.7414354421012
15,1686.9102564102564,2418.326603773585,731.4163473633284,1.4335834372836063,-563.139085695007,11.169999999999618
16,1694.5063636363636,4433.675,2739.1686363636363,2.6164994686036214,7.596107226107279,2015.3483962264154
17,751.2123287671233,2495.922115384615,1744.7097866174918,3.3225254961947703,-943.2940348692404,-1937.752884615385
18,2151.71397260274,2291.418518518519,139.7045459157789,1.0649270989056183,1400.5016438356165,-204.50359686609636
19,2263.011486486487,4188.481320754717,1925.46983426823,1.8508440393546928,111.29751388374689,1897.062802236198
20,2148.0836231884055,2357.1522641509437,209.0686409625382,1.0973279804871923,-114.92786329808132,-1831.329056603773
21,2148.0327142857145,2347.068148148148,199.03543386243336,1.0926594052961707,-0.050908902690935065,-10.084116002795781
22,2118.079565217391,4323.1916363636365,2205.1120711462454,2.041090291109967,-29.953149068323455,1976.1234882154886
23,2398.619230769231,2588.3335185185188,189.7142877492879,1.0790931237920773,280.5396655518398,-1734.8581178451177
24,821.7021875,2675.586111111111,1853.8839236111112,3.2561506489978904,-1576.9170432692308,87.25259259259246
25,1815.80171875,4880.087169811321,3064.2854510613206,2.6875661144162692,994.0995312499999,2204.5010587002093
26,1858.6729687499999,2818.98679245283,960.31382370283,1.5166663742619892,42.87124999999992,-2061.1003773584907
27,1900.7830769230768,2863.775185185185,962.9921082621081,1.5066291466677866,42.110108173076924,44.78839273235508
28,1904.7095522388058,5117.674545454545,3212.9649932157395,2.686852984718433,3.9264753157290215,2253.8993602693604
29,1966.4668656716417,2996.689107142857,1030.2222414712155,1.5238950421467417,61.75731343283587,-2120.985438311688
30,2738.527794117647,2997.391071428571,258.86327731092433,1.094526437842611,772.0609284460052,0.7019642857139843
31,997.1574626865672,5187.207017543859,4190.049554857293,5.201993879249876,-1741.3703314310796,2189.815946115288
32,2526.913235294118,3011.8945614035088,484.9813261093909,1.1919263864447416,1529.7557726075506,-2175.3124561403506
33,2574.677794117647,2920.9312280701756,346.25343395252867,1.134484180794821,47.764558823529114,-90.96333333333314
34,2592.6325,5063.069482758621,2470.436982758621,1.9528681688432976,17.95470588235321,2142.1382546884456
35,2527.64421875,2859.2410169491527,331.59679819915254,1.131188082460093,-64.98828125,-2203.8284658094685
36,2624.215079365079,2814.8760344827588,190.6609551176798,1.0726544697562708,96.5708606150788,-44.36498246639394
37,2583.03109375,5111.858813559322,2528.827719809322,1.979015593706235,-41.18398561507911,2296.982779076563
38,961.5862295081968,3005.1991379310343,2043.6129084228376,3.1252518450353053,-1621.444864241803,-2106.6596756282875
39,2353.1101886792453,2740.3526530612244,387.24246438197906,1.1645662265392385,1391.5239591710485,-264.84648486980996
40,2230.2456603773585,4708.0890196078435,2477.843359230485,2.111018128294994,-122.86452830188682,1967.7363665466191
41,1779.8061224489795,2699.6680769230766,919.861954474097,1.5168326723184795,-450.43953792837897,-2008.420942684767
42,417.20576923076925,2690.839454545455,2273.6336853146854,6.4496698104312875,-1362.6003532182103,-8.828622377621741
43,401.555,4534.3014814814815,4132.746481481481,11.291856611127944,-15.650769230769242,1843.4620269360266
44,2222.7523214285716,2618.736909090909,395.9845876623376,1.1781505675845327,1821.1973214285715,-1915.5645723905723
45,760.671052631579,2619.0585185185187,1858.3874658869397,3.4430895055855704,-1462.0812687969926,0.32160942760947364
46,2219.8973214285716,4298.3519230769225,2078.454601648351,1.936284116199934,1459.2262687969926,1679.2934045584038
47,2095.9960344827587,2451.5975000000003,355.60146551724165,1.1696575087294931,-123.9012869458129,-1846.7544230769222
48,2222.351833333333,2490.539423076923,268.1875897435898,1.1206773768766092,126.3557988505745,38.94192307692265
49,2104.1788333333334,4365.991509433962,2261.812676100629,2.0749146604224604,-118.17299999999977,1875.4520863570392
50,2229.754912280702,2455.4764150943397,225.72150281363793,1.1012315306809926,125.57607894736839,-1910.5150943396225
51,2102.148448275862,2622.5067272727274,520.3582789968655,1.2475364094403762,-127.60646400483984,167.0303121783877
52,745.5320689655173,4245.6058620689655,3500.073793103448,5.69473271345667,-1356.6163793103447,1623.099134796238
53,2259.669649122807,2466.02779661017,206.35814748736266,1.0913222636625093,1514.13758015729,-1779.5780654587957
54,2139.754655172414,2389.026896551724,249.2722413793099,1.1164957116820593,-119.91499395039318,-77.00090005844595
55,2151.7101724137933,4134.229672131148,1982.5194997173544,1.9213692090758485,11.955517241379312,1745.2027755794238
56,2244.366896551724,2332.555081967213,88.18818541548899,1.039293123397508,92.65672413793072,-1801.6745901639347
57,1933.2333333333333,2126.4298305084744,193.19649717514108,1.0999343916970572,-311.1335632183907,-206.1252514587386
58,1946.88,3794.000666666667,1847.1206666666667,1.9487593825334208,13.64666666666676,1667.5708361581924
59,649.555576923077,2214.535737704918,1564.9801607818413,3.4093090974525997,-1297.3244230769233,-1579.4649289617487
60,2052.7785454545456,1990.739827586207,-62.03871786833861,0.9697781730982572,1403.2229685314687,-223.79591011871116
61,1947.5712962962964,3657.5943333333335,1710.023037037037,1.8780284656530901,-105.20724915824917,1666.8545057471265
62,305.7161111111111,2040.297,1734.580888888889,6.673828842662674,-1641.8551851851853,-1617.2973333333334
63,2139.401296296296,2080.053064516129,-59.348231780167225,0.972259420482305,1833.685185185185,39.756064516128845
64,2082.5677192982457,3834.9327419354836,1752.3650226372379,1.841444437267915,-56.833576998050376,1754.8796774193547
65,2029.5817241379311,2150.955384615385,121.37366047745377,1.0598023026291328,-52.98599516031459,-1683.9773573200987
66,632.8982758620689,2227.5601515151516,1594.6618756530827,3.519617980442431,-1396.6834482758622,76.60476689976667
67,1956.650655737705,3986.2982857142856,2029.6476299765807,2.0373071064192367,1323.752379875636,1758.738134199134
68,2112.496666666667,2274.2617808219175,161.76511415525056,1.0765753227958943,155.84601092896196,-1712.0365048923682
69,1520.0178125,2314.343888888889,794.3260763888891,1.5225768210455686,-592.4788541666669,40.082108066971614
70,2104.4817741935485,4145.237222222222,2040.7554480286735,1.9697187559681788,584.4639616935485,1830.893333333333
71,2005.2626153846154,2411.6346575342463,406.37204214963094,1.2026527792578867,-99.21915880893312,-1733.6025646879757
72,1877.8542028985507,2343.3617105263156,465.5075076277649,1.2478933172283735,-127.40841248606466,-68.27294700793072
73,632.7318571428572,4167.39,3534.658142857143,6.586344520122832,-1245.1223457556935,1824.0282894736847
74,1826.685479452055,2453.39012345679,626.7046440047352,1.3430829505431476,1193.9536223091977,-1713.9998765432101
75,2042.6018666666669,2504.073253012048,461.47138634538123,1.2259233156868004,215.91638721461186,50.68312955525789
76,2013.1471428571426,4436.548928571428,2423.401785714286,2.203787708371328,-29.45472380952424,1932.4756755593803
77,1945.605974025974,2588.252941176471,642.6469671504967,1.330306843076088,-67.54116883116853,-1848.2959873949576
78,1969.2335897435898,2359.4348192771085,390.2012295335187,1.1981487780656463,23.627615717615754,-228.81812189936227
79,2008.7223076923076,4236.968192771084,2228.245885078777,2.10928517921358,39.48871794871775,1877.533373493976
80,653.4617105263158,2433.696219512195,1780.2345089858793,3.72431342236109,-1355.2605971659918,-1803.2719732588894
81,1822.5636,2451.2867088607595,628.7231088607596,1.3449663478743674,1169.1018894736842,17.59048934856446
82,1923.5901315789474,4286.762467532468,2363.1723359535204,2.228521761033235,101.02653157894747,1835.4757586717083
83,926.2258666666667,2714.6902597402595,1788.4643930735929,2.930916051297487,-997.3642649122808,-1572.0722077922082
84,861.8206756756757,2709.512435897436,1847.69176022176,3.1439399313240566,-64.40519099099095,-5.177823842823727
85,2002.8385333333335,4728.9646913580245,2726.126158024691,2.3611312707707826,1141.0178576576577,2019.4522554605887
86,2409.4282432432433,2742.2843902439026,332.85614700065935,1.1381473583760326,406.58970990990974,-1986.680301114122
87,802.6804109589041,2736.2750632911393,1933.5946523322352,3.4089221886233774,-1606.7478322843392,-6.009326952763331
88,2375.5654166666664,4673.3523076923075,2297.786891025641,1.967258941767993,1572.8850057077623,1937.0772444011682
89,2196.378309859155,2708.501153846154,512.1228439869992,1.233166955659765,-179.18710680751155,-1964.8511538461535
90,2332.998513513514,2656.5354666666667,323.5369531531528,1.1386785937835442,136.6202036543591,-51.965687179487304
91,2210.9122972972973,4583.1647297297295,2372.252432432432,2.07297446186914,-122.0862162162166,1926.6292630630628
92,1686.7127777777778,2677.7067532467536,990.9939754689758,1.5875297730148208,-524.1995195195195,-1905.457976482976
93,2337.828611111111,2687.6227272727274,349.79411616161633,1.1496235072576035,651.1158333333333,9.91597402597381
94,833.8602777777778,4629.156538461539,3795.296260683761,5.551477461905435,-1503.9683333333332,1941.5338111888113
95,2225.203088235294,2780.9732467532467,555.7701585179525,1.2497615437693412,1391.3428104575164,-1848.183291708292
96,2170.223676470588,2797.5427631578946,627.3190866873065,1.2890573416411661,-54.97941176470613,16.569516404647857
97,2146.148805970149,4740.4825675675675,2594.3337615974183,2.208832190191337,-24.07487050043892,1942.939804409673
98,2398.93859375,2764.1033333333335,365.16473958333336,1.1522192942056557,252.78978777985094,-1976.379234234234
99,2384.606307692308,2706.514411764706,321.90810407239815,1.1349942349116418,-14.332286057692272,-57.588921568627484
100,2544.3923880597017,4646.917611940298,2102.5252238805965,1.8263368628782672,159.78608036739388,1940.4032001755922
